title,year,authors,journal,cited_by,link,classifier_confidence,replicated_paper,method_description,result_description
Replication Crisis and Its Solutions,2017,E Palosaari,E Palosaari - 2017 - users.aalto.fi,0,https://users.aalto.fi/~palosae2/Replication%20Crisis%20and%20Its%20Solutions.pdf,high,Not identifiable from abstract,Method not specified in abstract,effect significance noted
Prolific. ac—A subject pool for online experiments,2018,"S Palan, C Schitter","S Palan, C Schitter - Journal of behavioral and experimental finance, 2018 - Elsevier",3875,https://www.sciencedirect.com/science/article/pii/S2214635017300989,high,Not identifiable from abstract,laboratory experiment,not fully replicated; successfully replicates; directional effect found; effect significance noted
"Bitcoin, gold and the US dollar–A replication and extension",2018,"DG Baur, T Dimpfl","DG Baur, T Dimpfl, K Kuck - Finance research letters, 2018 - Elsevier",699,https://www.sciencedirect.com/science/article/pii/S1544612317305093,high,Not identifiable from abstract,… This paper uses the same sample and econometric models to replicate the findings and demonstrates that exact replication is not ,Result not specified in abstract
Do medical marijuana laws reduce addictions and deaths related to pain killers?,2018,"D Powell, RL Pacula, M Jacobson","D Powell, RL Pacula, M Jacobson - Journal of health economics, 2018 - Elsevier",516,https://www.sciencedirect.com/science/article/pii/S0167629617311852,high,"Bachhuber et al. (2014): ""Medical cannabis laws and opioid analgesic overdose mortality in the U""",Method not specified in abstract,… We replicate the result for opioid overdose deaths and explore the potential mechanism
Relationship of gender differences in preferences to economic development and gender equality,2018,"A Falk, J Hermle","A Falk, J Hermle - Science, 2018 - science.org",515,https://www.science.org/doi/abs/10.1126/science.aas9899,high,Not identifiable from abstract,Method not specified in abstract,"Thanks to the journal's data standards policy, such replication … In our replication efforts, we found that the main results of …"
Attention variation and welfare: theory and evidence from a tax salience experiment,2018,"D Taubinsky, A Rees-Jones","D Taubinsky, A Rees-Jones - The Review of Economic Studies, 2018 - academic.oup.com",373,https://academic.oup.com/restud/article-abstract/85/4/2462/4665811,high,"Chetty et al. (2009): ""Salience and Taxation: Theory and Evidence""",Method not specified in abstract,"… We replicate prior findings that, on average, consumers under-react to non-salient sales taxes—consumers in our study react to existing sales taxes "
"Human capital, social capabilities and economic growth",2018,"M Ali, A Egbetokun, MH Memon","M Ali, A Egbetokun, MH Memon - Economies, 2018 - mdpi.com",244,https://www.mdpi.com/2227-7099/6/1/2,medium,Not identifiable from abstract,panel data,results hold/are robust
Sequence and alignment of external pressures in industry destabilisation: Understanding the downfall of incumbent utilities in the German energy transition (1998 …,2018,"G Kungl, FW Geels","G Kungl, FW Geels - Environmental innovation and societal transitions, 2018 - Elsevier",204,https://www.sciencedirect.com/science/article/pii/S2210422417300175,medium,Not identifiable from abstract,Method not specified in abstract,"First, we replicate the multi-dimensional … Sequence and alignment of external pressures in industry destabilisation: Understanding the downfall of in"
Tax structures and economic growth: New evidence from the government revenue dataset,2018,K McNabb,"K McNabb - Journal of International development, 2018 - Wiley Online Library",159,https://onlinelibrary.wiley.com/doi/abs/10.1002/jid.3345,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Which panel data estimator should I use?: A corrigendum and extension,2018,WR Reed,"M Moundigbaye, WS Rea, WR Reed - Economics, 2018 - degruyter.com",157,https://www.degruyter.com/document/doi/10.5018/economics-ejournal.ja.2018-4/html,high,Not identifiable from abstract,survey data; panel data,Result not specified in abstract
Ambiguity aversion is not universal,2018,MG Kocher,"MG Kocher, AM Lahno, ST Trautmann - European Economic Review, 2018 - Elsevier",145,https://www.sciencedirect.com/science/article/pii/S001429211730185X,medium,"Ellsberg & Daniel (1961): ""Risk, Ambiguity, and the Savage Axioms""; Halevy & Yoram (2007): ""Ellsberg Revisited: An Experimental Study""",Method not specified in abstract,… We replicate the usual finding of ambiguity aversion for moderate likelihood gains
"Registered replication report on Mazar, Amir, and Ariely (2008)",2018,"B Verschuere, EH Meijer, A Jim","B Verschuere, EH Meijer, A Jim… - … in Methods and …, 2018 - journals.sagepub.com",137,https://journals.sagepub.com/doi/abs/10.1177/2515245918781032,high,"Mazar et al. (2008): ""The dishonesty of honest people: A theory of self-concept maintenance""",direct replication,Result not specified in abstract
"Law and psychology grows up, goes online, and replicates",2018,"K Irvine, DA Hoffman","K Irvine, DA Hoffman… - Journal of Empirical …, 2018 - Wiley Online Library",122,https://onlinelibrary.wiley.com/doi/abs/10.1111/jels.12180,high,Not identifiable from abstract,Method not specified in abstract,"Specifically, we replicate …"
"Wealth inequality in Sweden, 1750–1900",2018,"E Bengtsson, A Missiaia, M Olsson","E Bengtsson, A Missiaia, M Olsson… - The Economic History …, 2018 - Wiley Online Library",118,https://onlinelibrary.wiley.com/doi/abs/10.1111/ehr.12576,medium,Not identifiable from abstract,… for social status we replicate all individuals … replication method that we use for the adjustment of the social structure,… for social status we replicate all individuals … replication method that we use for the adjustment of the social structure
Replicating a trading strategy by means of LSTM for financial industry applications,2018,"L Troiano, V Loia","L Troiano, EM Villa, V Loia - IEEE transactions on industrial …, 2018 - ieeexplore.ieee.org",112,https://ieeexplore.ieee.org/abstract/document/8305636/,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
"Revisiting the gender gap in CEO compensation: Replication and extension of Hill, Upadhyay, and Beekun's (2015) work on CEO gender pay gap",2018,"VK Gupta, SC Mortal, X Guo","VK Gupta, SC Mortal, X Guo - Strategic Management Journal, 2018 - Wiley Online Library",109,https://onlinelibrary.wiley.com/doi/abs/10.1002/smj.2905,high,"Hill et al. (2015): ""CEO Gender Pay Gap: A Study of the Gender Pay Gap in CEO Compensation""","… We seek to replicate earlier work by Hill and colleagues, using an expanded dataset over a longer period of time and with more r",Result not specified in abstract
Intergenerational transmission of human capital: Is it a one-way street?,2018,"P Lundborg, K Majlesi","P Lundborg, K Majlesi - Journal of health economics, 2018 - Elsevier",106,https://www.sciencedirect.com/science/article/pii/S0167629617304034,low,Not identifiable from abstract,Method not specified in abstract,significant effect found; effect significance noted
Do freedom of information laws increase transparency of government? A replication of a field experiment,2018,"S Grimmelikhuijsen, P John, A Meijer","S Grimmelikhuijsen, P John, A Meijer… - Journal of Behavioral …, 2018 - eprints.bbk.ac.uk",87,http://eprints.bbk.ac.uk/24005/,high,"Worthy et al. (2016): ""The impact of Freedom of Information requests on the responsiveness of""",pre-registered replication; field experiment,directional effect found; effect significance noted
"Poverty, rural population distribution and climate change",2018,"EB Barbier, JP Hochard","EB Barbier, JP Hochard - Environment and Development Economics, 2018 - cambridge.org",81,https://www.cambridge.org/core/journals/environment-and-development-economics/article/poverty-rural-population-distribution-and-climate-change/AC50CF7C85013A57F8AACCAA49B29C09,high,"Ravallion & Martin (2012): ""Poorer but no less resilient: The impact of the global economic crisis""",Method not specified in abstract,Result not specified in abstract
How should we think about Americans' beliefs about economic mobility?,2018,"S Davidai, T Gilovich","S Davidai, T Gilovich - Judgment and Decision making, 2018 - cambridge.org",81,https://www.cambridge.org/core/journals/judgment-and-decision-making/article/how-should-we-think-about-americans-beliefs-about-economic-mobility/6007ED89B1BB5A12699BA98624D02258,high,"Davidai et al. (2015): ""The impact of social class on the perception of economic mobility""; Kraus et al. (2015): ""The social class mobility gap: The role of social class in perceptions""; Kraus & W. (2015): ""The role of social class in shaping perceptions of economic mobility""",conceptual replication,original effect may be overstated
Monopsony and employer mis-optimization explain why wages bunch at round numbers,2018,"A Dube, A Manning, S Naidu","A Dube, A Manning, S Naidu - 2018 - nber.org",76,https://www.nber.org/papers/w24991,medium,"Dube et al. (2018): ""Monopsony and employer mis-optimization explain why wages bunch at rou""",randomized controlled trial,We replicate the absence of round number discontinuities in firm labor supply in matched worker-firm hourly wage data from Oregon as well as in an onl
Greenness and school-wide test scores are not always positively associated–A replication of “linking student performance in Massachusetts elementary schools with …,2018,"MHEM Browning, M Kuo, S Sachdeva, K Lee","MHEM Browning, M Kuo, S Sachdeva, K Lee… - Landscape and urban …, 2018 - Elsevier",76,https://www.sciencedirect.com/science/article/pii/S0169204618303086,high,Not identifiable from abstract,direct replication,mixed results
Estimating economic characteristics with phone data,2018,JE Blumenstock,"JE Blumenstock - AEA papers and proceedings, 2018 - aeaweb.org",74,https://www.aeaweb.org/articles?id=10.1257/pandp.20181033,medium,Not identifiable from abstract,… We replicate all experiments using two independently collected datasets,… We replicate all experiments using two independently collected datasets
Error-prone inference from response time: The case of intuitive generosity in public-good games,2018,"MP Recalde, A Riedl, L Vesterlund","MP Recalde, A Riedl, L Vesterlund - Journal of Public Economics, 2018 - Elsevier",69,https://www.sciencedirect.com/science/article/pii/S0047272718300367,high,Not identifiable from abstract,Method not specified in abstract,"… Replicating previous results, we find that fast decision-makers give more than slow decision-makers when the equilibrium is below the mid-point of t"
"Predicting economic, social, and foreign policy conservatism: The role of right-wing authoritarianism, social dominance orientation, moral foundations orientation, and …",2018,RJ Harnish,"RJ Harnish, KR Bridges, JT Gump - Current Psychology, 2018 - Springer",68,https://link.springer.com/article/10.1007/s12144-016-9552-x,high,"Duckitt et al. (2010): ""Personality and prejudice: A review of the relationship between person""",Method not specified in abstract,unable to replicate
Complexity in risk elicitation may affect the conclusions: A demonstration using gender differences,2018,"G Charness, C Eckel, U Gneezy","G Charness, C Eckel, U Gneezy… - Journal of risk and …, 2018 - Springer",62,https://link.springer.com/article/10.1007/s11166-018-9274-6,medium,"Charness et al. (2012): ""Strong evidence for gender differences in risk taking""; Charness et al. (2013): ""Experimental methods: Eliciting risk preferences""; Dave et al. (2010): ""Eliciting risk preferences: When is simple better?""","… We compare the HL approach, where we replicate the lack of significant gender … of economic preferences",effect significance noted
Overhead aversion: Do some types of overhead matter more than others?,2018,"JE Portillo, J Stinn","JE Portillo, J Stinn - Journal of behavioral and experimental economics, 2018 - Elsevier",62,https://www.sciencedirect.com/science/article/pii/S2214804317301325,high,Not identifiable from abstract,Method not specified in abstract,"… First, we replicate the prior finding establishing the existence of overhead aversion"
Perceived economic threat and anti-immigration attitudes: Effects of immigrant group size and economic conditions revisited,2018,B Meuleman,"B Meuleman - Cross-Cultural Analysis, 2018 - taylorfrancis.com",61,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315537078-10/perceived-economic-threat-anti-immigration-attitudes-bart-meuleman,high,Not identifiable from abstract,Method not specified in abstract,unable to replicate
Measuring trust: A reinvestigation,2018,"B Aksoy, H Harwell","B Aksoy, H Harwell, A Kovaliukaite… - Southern Economic …, 2018 - Wiley Online Library",54,https://onlinelibrary.wiley.com/doi/abs/10.1002/soej.12259,medium,"GLSS et al. (YEAR): ""Title of the original study""","… While we replicate the GLSS protocol in the replication experiment, in the reinvestigation experiment we use the original invest","… While we replicate the GLSS protocol in the replication experiment, in the reinvestigation experiment we use the original investment game with equal"
Son preference and gender-biased breastfeeding in Pakistan,2018,,"N Hafeez… - Economic Development …, 2018 - journals.uchicago.edu",51,https://www.journals.uchicago.edu/doi/abs/10.1086/695137,high,"Jayachandran et al. (2011): ""Why Do Mothers Breastfeed Girls Less Than Boys? Evidence from India""",Method not specified in abstract,"… We replicate the analysis of Jayachandran and Kuziemko (2011) in India, where a model of … Our replication exercise strongly supports their theory: "
Can education compensate the effect of population ageing on macroeconomic performance?,2018,"R Kotschy, U Sunde","R Kotschy, U Sunde - Economic Policy, 2018 - academic.oup.com",51,https://academic.oup.com/economicpolicy/article-abstract/33/96/587/5068947,low,Not identifiable from abstract,Method not specified in abstract,effect significance noted
The effects of financial education: Evidence from Finnish lower secondary schools,2018,P Kalmi,"P Kalmi - … of Banking, Finance and Monetary Economics, 2018 - Wiley Online Library",48,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecno.12114,medium,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Violence and risk preference: experimental evidence from Afghanistan: comment,2018,FM Vieider,"FM Vieider - American Economic Review, 2018 - aeaweb.org",47,https://www.aeaweb.org/articles?id=10.1257/aer.20160789,high,"Callen et al. (2014): ""Violence and Risk Preference: Experimental Evidence from Afghanistan""",Method not specified in abstract,Result not specified in abstract
A behavioral economic approach to green consumerism: Demand for reusable shopping bags,2018,"BA Kaplan, BW Gelino, DD Reed","BA Kaplan, BW Gelino, DD Reed - Behavior and Social Issues, 2018 - Springer",46,https://link.springer.com/article/10.5210/bsi.v27i0.8003,high,"Dunlap et al. (1978): ""The “new environmental paradigm”: A proposed measuring instrument and ""; Dunlap et al. (2000): ""New trends in measuring environmental attitudes: Measuring endorsement""",Method not specified in abstract,Result not specified in abstract
"A nexus between air pollution, energy consumption and growth of economy: A comparative study between the USA and China-based on the ARDL bound …",2018,MA Koondhar,"MA Koondhar, L Qiu, H Li, W Liu… - Agricultural Economics …, 2018 - agriculturejournals.cz",44,https://www.agriculturejournals.cz/pdfs/age/2018/06/03.pdf,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Quality signaling through ex-ante voluntary information disclosure in entrepreneurial networks: Evidence from franchising,2018,"F Sadeh, M Kacker","F Sadeh, M Kacker - Small Business Economics, 2018 - Springer",43,https://link.springer.com/article/10.1007/s11187-017-9892-4,medium,Not identifiable from abstract,Method not specified in abstract,"… and hypotheses, Footnote 7 we replicate as much of Michael (… In the replication portion of our empirical analyses, we use … and estimation results "
Reconciling results on racial differences in police shootings,2018,,"RG Fryer Jr - AEA papers and proceedings, 2018 - aeaweb.org",43,https://www.aeaweb.org/articles?id=10.1257/pandp.20181004,medium,"Fryer & Jr. (2016): ""The Effect of Police Killings on Crime""; Eberhardt et al. (2006): ""Seeing Black: Race, Crime, and Visual Processing""",… well-established literature in labor economics designed to understand whether racial differ… I replicate some of the key finding,Result not specified in abstract
"How important are fixed effects and time trends in estimating returns to schooling? Evidence from a replication of Jacobson, Lalonde, and Sullivan, 2005",2018,"S Dynarski, B Jacob, D Kreisman","S Dynarski, B Jacob, D Kreisman - Journal of Applied …, 2018 - Wiley Online Library",41,https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.2653,high,"Jacobson et al. (2005): ""Estimating the Returns to Schooling: The Importance of Fixed Effects a""",Method not specified in abstract,Result not specified in abstract
The Macro-Economic Impact of Brexit: Using the CBR Macro-Economic Model of the UK Economy (UKMOD).,2018,,"G Gudgin, K Coutts, N Gibson, J Buchanan - … & Management Economics, 2018 - ceeol.com",41,https://www.ceeol.com/search/article-detail?id=676841,high,"HM Treasury (2018): ""EU Exit: Long-term economic analysis""",The gravity model approach is replicated and shows that the impact of EU membership on the level of exports to the EU is much smal,Result not specified in abstract
The impact of NHS expenditure on health outcomes in England: Alternative approaches to identification in all‐cause and disease specific models of mortality,2018,,"K Claxton, J Lomas, S Martin - Health economics, 2018 - Wiley Online Library",40,https://onlinelibrary.wiley.com/doi/abs/10.1002/hec.3650,high,Not identifiable from abstract,… One approach uses conventional socio-economic variables as instruments for endogenous … We find that the “funding rule” approach,not fully replicated; successfully replicates
Socialist growth revisited: insights from Yugoslavia,2018,L Kukić,"L Kukić - European Review of Economic History, 2018 - academic.oup.com",39,https://academic.oup.com/ereh/article-abstract/22/4/403/4917667,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Who are the losers of the economic crisis? Explaining the vote for right-wing populist parties in Europe after the Great Recession,2018,"J Rama, G Cordero","J Rama, G Cordero - Revista Española de Ciencia Política, 2018 - recyt.fecyt.es",37,https://recyt.fecyt.es/index.php/recp/article/download/64643/pdf_120/214494,medium,Not identifiable from abstract,Method not specified in abstract,"… Nevertheless, we replicate the analyses implemented in this article by using the alternative dependent variable with values 1 for RWPP voters and 0 "
"Measurement error in macroeconomic data and economics research: Data revisions, gross domestic product, and gross domestic income",2018,"AC Chang, P Li","AC Chang, P Li - Economic Inquiry, 2018 - Wiley Online Library",37,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecin.12567,high,Chang and Li (2015,"… on economic research, we start with a sample of 29 papers for which we were able to replicate … Chang and Li (2015a, Forthcoming",Result not specified in abstract
Management and bureaucratic effectiveness: Evidence from the ghanaian civil service,2018,"I Rasul, D Rogger, MJ Williams","I Rasul, D Rogger, MJ Williams - World Bank Policy Research …, 2018 - papers.ssrn.com",36,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3255989,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
"Institutions, economic freedom and structural transformation in 11 sub-Saharan African countries",2018,A Carraro,"A Carraro, P Karfakis - 2018 - ageconsearch.umn.edu",33,https://ageconsearch.umn.edu/record/288957/,medium,Not identifiable from abstract,Method not specified in abstract,original result may be spurious; directional effect found
Economic uncertainty and fertility cycles: The case of the post-WWII baby boom,2018,"B Chabé-Ferret, P Gobbi","B Chabé-Ferret, P Gobbi - 2018 - papers.ssrn.com",33,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3298790,medium,Not identifiable from abstract,Method not specified in abstract,"We argue that economic … In column (3), we replicate specification (5) of …"
Learning to alternate,2018,"J Arifovic, J Ledyard","J Arifovic, J Ledyard - Experimental Economics, 2018 - Springer",32,https://link.springer.com/article/10.1007/s10683-018-9568-1,low,"Arifovic et al. (2011): ""A behavioral model for mechanism design: Individual evolutionary learn""; Arifovic et al. (2012): ""Individual evolutionary learning, other-regarding preferences, and the""",laboratory experiment,Result not specified in abstract
How persistent is the effect of conflict on primary education? Long-run evidence from the Rwandan genocide,2018,G La Mattina,"G La Mattina - Economics Letters, 2018 - Elsevier",30,https://www.sciencedirect.com/science/article/pii/S0165176517304482,high,"Akresh et al. (2008): ""The impact of the 1994 genocide on education in Rwanda""",Method not specified in abstract,Result not specified in abstract
Slow touch targeting CT-fibres does not increase prosocial behaviour in economic laboratory tasks,2018,"LA Rosenberger, A Ree, C Eisenegger, U Sailer","LA Rosenberger, A Ree, C Eisenegger, U Sailer - Scientific reports, 2018 - nature.com",30,https://www.nature.com/articles/s41598-018-25601-7,high,Not identifiable from abstract,"… with two different behavioural economic laboratory tasks and … In general, our data replicated some typical findings from … We w",null result
Dorsolateral and medial prefrontal cortex mediate the influence of incidental priming on economic decision making in obesity,2018,"F Morys, S Bode, A Horstmann","F Morys, S Bode, A Horstmann - Scientific Reports, 2018 - nature.com",28,https://www.nature.com/articles/s41598-018-35834-1,low,Not identifiable from abstract,meta-analysis,Result not specified in abstract
A new metric of consensus for Likert scales,2018,O Claveria,"O Claveria - arXiv preprint arXiv:1809.10493, 2018 - arxiv.org",28,https://arxiv.org/abs/1809.10493,low,Not identifiable from abstract,out-of-sample test,We find evidence that the degree of agreement among consumers contains useful information to predict unemployment rates in most countries
How motivations for tipping vary with occupational differences in descriptive tipping norms,2018,M Lynn,"M Lynn - Journal of behavioral and experimental economics, 2018 - Elsevier",28,https://www.sciencedirect.com/science/article/pii/S2214804318302878,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Real or bogus: Predicting susceptibility to phishing with economic experiments,2018,"Y Chen, I YeckehZaare","Y Chen, I YeckehZaare, AF Zhang - PloS one, 2018 - journals.plos.org",27,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0198213,medium,Not identifiable from abstract,field experiment,effect significance noted
Does institutional quality resolve the Lucas Paradox?,2018,"M Akhtaruzzaman, C Hajzler, PD Owen","M Akhtaruzzaman, C Hajzler, PD Owen - Applied Economics, 2018 - Taylor & Francis",27,https://www.tandfonline.com/doi/abs/10.1080/00036846.2017.1321840,medium,Not identifiable from abstract,Method not specified in abstract,significance noted; effect significance noted
"Genetic distance, trade, and the diffusion of development",2018,"V Bove, G Gokmen","V Bove, G Gokmen - Journal of Applied Econometrics, 2018 - Wiley Online Library",26,https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.2622,low,"Spolaore et al. (2009): ""The Diffusion of Development""",Method not specified in abstract,Result not specified in abstract
The sad truth about happiness scales: Empirical results,2018,"TN Bond, K Lang","TN Bond, K Lang - 2018 - nber.org",25,https://www.nber.org/papers/w24853,medium,"Easterlin & A. (1974): ""Does Economic Growth Improve the Human Lot? Some Empirical Evidence""; Blanchflower et al. (2004): ""Well-Being Over Time in Britain and the USA""; Okun & M. (1975): ""Equality and Efficiency: The Big Tradeoff""",cross-country analysis,"… We replicate nine key results from the happiness literature: the Easterlin Paradox, the 'U-… assumptions that resemble real-life distributions of ec"
Non-naïvety may reduce the effect of intuition manipulations,2018,DG Rand,"DG Rand - Nature Human Behaviour, 2018 - nature.com",24,https://www.nature.com/articles/s41562-018-0404-6,high,"Rand et al. (2012): ""Dynamic cooperation in social dilemmas""",direct replication; laboratory experiment,fails to replicate; not fully replicated; successfully replicates; similar effect sizes
Testing the influence of testosterone administration on men's honesty in a large laboratory experiment,2018,"A Henderson, A Nadler, J Barraza","A Henderson, G Thoelen, A Nadler, J Barraza… - Scientific Reports, 2018 - nature.com",21,https://www.nature.com/articles/s41598-018-29928-z,high,"Wibral et al. (2012): ""Testosterone administration reduces deception in a die-roll task""",double-blind design; laboratory experiment,not fully replicated; successfully replicates; significance noted; directional effect found
The regional economic effects of military base realignments and closures,2018,J Lee,"J Lee - Defence and Peace Economics, 2018 - Taylor & Francis",21,https://www.tandfonline.com/doi/abs/10.1080/10242694.2016.1170335,medium,Not identifiable from abstract,"… To avoid the potential problem with data selection bias, we replicate the above regressions with data for all US counties","… To avoid the potential problem with data selection bias, we replicate the above regressions with data for all US counties"
Revisiting gender differences in ultimatum bargaining: experimental evidence from the US and China,2018,"S Li, D Houser","S Li, X Qin, D Houser - Journal of the Economic Science Association, 2018 - cambridge.org",20,https://www.cambridge.org/core/journals/journal-of-the-economic-science-association/article/revisiting-gender-differences-in-ultimatum-bargaining-experimental-evidence-from-the-us-and-china/FAA2BF3571EB696F8FC4CD3055A231FB,high,"Solnick & J. (2001): ""Gender Differences in Ultimatum Bargaining: An Experimental Study""",Method not specified in abstract,Result not specified in abstract
Normatively framed relative performance feedback–field experiment and replication,2018,"R Brade, O Himmler","R Brade, O Himmler, R Jäckle - 2018 - mpra.ub.uni-muenchen.de",19,https://mpra.ub.uni-muenchen.de/id/eprint/88830,high,"Brade et al. (2018): ""Normatively Framed Relative Performance Feedback – Field Experiment""",field experiment; natural experiment; survey data; regression discontinuity,… We administer a replication experiment one year later with the … In both the original experiment and the replication we find no … economics
Regional concentration and national economic growth in Brazil and Chile,2018,"P Aroca, C Azzoni, M Sarrias","P Aroca, C Azzoni, M Sarrias - Letters in Spatial and Resource Sciences, 2018 - Springer",18,https://link.springer.com/article/10.1007/s12076-018-0217-2,high,"Brülhart et al. (2009): ""Agglomeration and growth: cross-country evidence""","… We were able to replicate the international cross-section results presented by Brülhart and Sbergami (2009), locating the countr",directional effect found
Econometric error nullifies finding of the impact of broadband speed on county-level employment,2018,"BE Whitacre, MR Alam, BJ Lobo","BE Whitacre, MR Alam, BJ Lobo - Information Economics and Policy, 2018 - Elsevier",18,https://www.sciencedirect.com/science/article/pii/S0167624518300878,high,Not identifiable from abstract,… the findings and attempted to replicate the methodology using … Although we succeeded in replicating the summary statistics … We,Result not specified in abstract
A review on the resource curse,2018,L Szalai,"L Szalai - Periodica Polytechnica Social and Management …, 2018 - pp.bme.hu",17,https://pp.bme.hu/so/article/view/10021,high,"Sachs et al. (1995): ""Natural Resource Abundance and Economic Growth""",cross-country analysis,effect significance noted
The effects of wars on postwar homicide rates: a replication and extension of Archer and Gartner's classic study,2018,,"JP Stamatel, SH Romans - Journal of contemporary criminal …, 2018 - journals.sagepub.com",15,https://journals.sagepub.com/doi/abs/10.1177/1043986218769989,high,"Archer et al. (2000): ""Violence and the Civilizing Process: A Comparative Historical Analysis""",Method not specified in abstract,Result not specified in abstract
The effects of young adult‐dependent coverage and contraception mandates on young women,2018,"J Trudeau, KS Conway","J Trudeau, KS Conway - Contemporary Economic Policy, 2018 - Wiley Online Library",14,https://onlinelibrary.wiley.com/doi/abs/10.1111/coep.12223,high,"Levine et al. (2011): ""The Impact of Young Adult Dependent Coverage on Health Care Utilizatio""; Depew & Brian (2015): ""The Effects of Health Insurance Coverage on Young Adults' Health Care ""","… Using CPS data and DD as well as the alternative DDD strategies of Levine, McKnight, and Heep (2011) versus Depew (2015), we att",Result not specified in abstract
Testing the effect of cooperative/competitive priming on the prisoner's dilemma. a replication study,2018,"A Belaus, C Reyna, E Freidin","A Belaus, C Reyna, E Freidin - PloS one, 2018 - journals.plos.org",13,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0209263,high,"Kay et al. (2003): ""The influence of priming on the construal of social dilemmas""",direct replication; close replication,Result not specified in abstract
Will the real specification please stand up? A comment on Andrew Bird and Stephen Karolyi,2018,A Young,"A Young - Econ Journal Watch, 2018 - econjwatch.org",13,https://econjwatch.org/File+download/1047/YoungJan2018.pdf,high,"Bird et al. (2015): ""Title of the original paper""",regression discontinuity,closely replicates
Aggregate demand shortfalls and economic freedom,2018,"RH Murphy, TL Smith","RH Murphy, TL Smith - The Review of Austrian Economics, 2018 - Springer",13,https://link.springer.com/article/10.1007/s11138-017-0377-0,medium,"Sumner & S. (2015): ""The Midas paradox: financial markets, government policy shocks, and th""",Method not specified in abstract,"… We replicate the previous models closely, replacing the control for economic freedom at the beginning period with economic freedom less sound money "
"Replicating “predicting the present with google trends” by Hyunyoung Choi and Hal Varian (the economic record, 2012)",2018,T Coupé,"T Coupé - Economics, 2018 - degruyter.com",12,https://www.degruyter.com/document/doi/10.5018/economics-ejournal.ja.2018-34/html,high,"Choi et al. (2012): ""Predicting the Present with Google Trends""",survey data,Result not specified in abstract
"Institutions and information flows, and their effect on capital flows",2018,M Pinar,"M Pinar, E Volkan - Information Economics and Policy, 2018 - Elsevier",12,https://www.sciencedirect.com/science/article/pii/S0167624517301506,medium,Not identifiable from abstract,Method not specified in abstract,… Table 2 presents the results when we replicate the AKV results with the inclusion of the information flows variable
Recidivism and education revisited: evidence for the USA,2018,"J Fogarty, M Giles","J Fogarty, M Giles - 2018 - ageconsearch.umn.edu",11,https://ageconsearch.umn.edu/record/275642/,high,Not identifiable from abstract,meta-analysis,Result not specified in abstract
Revisiting the past: replicating fifty-year-old flow analysis using contemporary taxi flow data,2018,"U Demšar, J Reades, E Manley","U Demšar, J Reades, E Manley… - Annals of the American …, 2018 - Taylor & Francis",11,https://www.tandfonline.com/doi/abs/10.1080/24694452.2017.1374164,high,Not identifiable from abstract,… Here we attempt to replicate one of these early analyses using taxi flow data … of Economics) to extract functional regions with,Result not specified in abstract
Coordination and transfer,2018,"DJ Cooper, J Van Huyck","DJ Cooper, J Van Huyck - Experimental Economics, 2018 - Springer",10,https://link.springer.com/article/10.1007/s10683-017-9521-8,low,"Rankin et al. (2000): ""Equilibrium selection in coordination games""",Method not specified in abstract,Result not specified in abstract
"Reply: cost-efficiency analyses for the US of biosimilar filgrastim-sndz, reference filgrastim, pegfilgrastim, and pegfilgrastim with on-body injector in the prophylaxis of …",2018,,"A McBride, K Campbell, M Bikkina… - … of Medical Economics, 2018 - Taylor & Francis",10,https://www.tandfonline.com/doi/abs/10.1080/13696998.2018.1452749,high,Not identifiable from abstract,Method not specified in abstract,replicates and extends original
Predicting crude oil prices: Replication of the empirical results in “What do we learn from the price of crude oil?”,2018,A Pak,"A Pak - Journal of Applied Econometrics, 2018 - Wiley Online Library",9,https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.2584,high,Not identifiable from abstract,"… In this replication paper, I verified the algorithm of the MATLAB code and computations … I present the replicated results for t",Result not specified in abstract
Is altruism sensitive to scope? The role of tangibility,2018,"A Imas, G Loewenstein","A Imas, G Loewenstein - AEA Papers and Proceedings, 2018 - aeaweb.org",9,https://www.aeaweb.org/articles?id=10.1257/pandp.20181094,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Motives behind voting and the perception of the motives: Paradox of voting in Bosnia and Herzegovina,2018,J Prochazka,"A Krajina, J Prochazka - Eurasian Economic Review, 2018 - Springer",9,https://link.springer.com/article/10.1007/s40822-017-0087-8,low,"Carlsson et al. (2010): ""Why do you vote and vote as you do?""",different country,Result not specified in abstract
